SAMPLE	Ia-10	Ia-1	Ia-2	Ia-3	Ia-4	Ia-5	Ia-6	Ia-7	Ia-8	Ia-9	Ib-10	Ib-1	Ib-2	Ib-3	Ib-4	Ib-5	Ib-6	Ib-7	Ib-8	Ib-9	II-1	IIa-10	IIa-1	IIa-2	IIa-3	IIa-4	IIa-5	IIa-6	IIa-7	IIa-8	IIa-9	IIb-10	IIb-1	IIb-2	IIb-3	IIb-4	IIb-5	IIb-6	IIb-7	IIb-8	IIb-9
IIb-10	0.184278	0.18612	0.198425	0.187094	0.122221	0.00564969	0.190168	0.197852	0.192998	0.196588	0.00577414	0.0078662	0.210093	0.245494	0.261589	0.211901	0.217976	0.00563413	0.205648	0.017269	0.00181538	0.0113198	0.180232	0.0102381	0.0114747	0.0115658	0.0116032	0.011511	0.011511	0.166528	0.0113271	0	0.00305933	0.000402749	0.00014621	0.000189185	0.000158131	7.31945e-05	0.000309587	8.07047e-05	7.31945e-05
IIb-1	0.182735	0.186864	0.196801	0.187978	0.117735	0.0079779	0.187978	0.196199	0.196286	0.194842	0.00754458	0.0105149	0.213713	0.241367	0.257585	0.211549	0.215966	0.00809813	0.204631	0.0193608	0.00492036	0.0142878	0.178402	0.0133487	0.0136852	0.0137855	0.0138271	0.0137231	0.0137231	0.170849	0.0142076	0.00305933	0	0.00317705	0.0031324	0.00285727	0.00288987	0.00314242	0.00340712	0.00314111	0.00314242
IIb-2	0.184188	0.188003	0.201047	0.189027	0.122522	0.0057587	0.192267	0.200467	0.196536	0.199114	0.00589436	0.00800234	0.213741	0.245403	0.261511	0.215738	0.22013	0.00573897	0.208832	0.0171932	0.00212991	0.0115579	0.182694	0.010532	0.0117224	0.0118144	0.0118521	0.0117588	0.0117588	0.167564	0.0115721	0.000402749	0.00317705	0	0.000546396	0.000286758	0.000255525	0.000473499	0.000646114	0.000479877	0.000473499
IIb-3	0.184394	0.186235	0.198539	0.18721	0.122338	0.00571328	0.190283	0.197967	0.19312	0.196703	0.00584602	0.00792831	0.210207	0.245603	0.261704	0.212014	0.218089	0.00569427	0.205754	0.0173588	0.00176543	0.01142	0.181179	0.0102967	0.0115343	0.0116204	0.0116578	0.0115706	0.0115706	0.167195	0.0114132	0.00014621	0.0031324	0.000546396	0	0.000332296	0.000301063	0.000215888	0.000453055	6.90818e-05	0.000215888
IIb-4	0.184137	0.187952	0.200997	0.188976	0.122463	0.00561792	0.192216	0.200416	0.196485	0.199062	0.0056892	0.00777948	0.213691	0.245354	0.261469	0.215687	0.22008	0.00560606	0.208782	0.0171505	0.00190705	0.0112451	0.182643	0.0102992	0.0114041	0.0114952	0.0115327	0.0114405	0.0114405	0.167509	0.0112569	0.000189185	0.00285727	0.000286758	0.000332296	0	3.47495e-05	0.000259221	0.00049746	0.000266194	0.000259221
IIb-5	0.184182	0.187997	0.201041	0.189021	0.122515	0.00558704	0.192261	0.200461	0.19653	0.199107	0.00572127	0.00781268	0.213735	0.245397	0.261511	0.215731	0.220124	0.00556594	0.208826	0.0171885	0.00187373	0.0112712	0.182688	0.0102604	0.0114306	0.0115217	0.0115591	0.0114669	0.0114669	0.167558	0.0112832	0.000158131	0.00288987	0.000255525	0.000301063	3.47495e-05	0	0.000228047	0.00046593	0.00023514	0.000228047
IIb-6	0.184182	0.186024	0.19833	0.186998	0.122123	0.00573957	0.190072	0.197755	0.192901	0.196491	0.00586486	0.00796789	0.209998	0.245403	0.261499	0.211806	0.217882	0.00572473	0.205554	0.0174299	0.00189006	0.0114052	0.180136	0.0103205	0.0115617	0.0116531	0.0116907	0.0115981	0.0115981	0.164811	0.0114132	7.31945e-05	0.00314242	0.000473499	0.000215888	0.000259221	0.000228047	0	0.000239968	0.000150144	0
IIb-7	0.184163	0.186005	0.198311	0.186979	0.122109	0.00591695	0.190053	0.197742	0.192888	0.196478	0.00605279	0.00816399	0.211818	0.245391	0.261481	0.211793	0.217869	0.00591266	0.205535	0.0176576	0.00213939	0.0116681	0.180116	0.0105762	0.0118294	0.0119216	0.0119594	0.0118658	0.0118658	0.164799	0.0116782	0.000309587	0.00340712	0.000646114	0.000453055	0.00049746	0.00046593	0.000239968	0	0.000386715	0.000239968
IIb-8	0.1844	0.186242	0.198545	0.187216	0.122345	0.0057252	0.190289	0.197973	0.19312	0.19671	0.00585002	0.00794482	0.210213	0.245609	0.261704	0.21202	0.218095	0.0057103	0.205766	0.0173588	0.00174093	0.0113801	0.181186	0.0102984	0.0115358	0.0116218	0.0116593	0.0115721	0.0115721	0.167201	0.0113878	8.07047e-05	0.00314111	0.000479877	6.90818e-05	0.000266194	0.00023514	0.000150144	0.000386715	0	0.000150144
IIb-9	0.184182	0.186024	0.19833	0.186998	0.122123	0.00573957	0.190072	0.197755	0.192901	0.196491	0.00586486	0.00796789	0.209998	0.245403	0.261499	0.211806	0.217882	0.00572473	0.205554	0.0174299	0.00189006	0.0114052	0.180136	0.0103205	0.0115617	0.0116531	0.0116907	0.0115981	0.0115981	0.164811	0.0114132	7.31945e-05	0.00314242	0.000473499	0.000215888	0.000259221	0.000228047	0	0.000239968	0.000150144	0
