SAMPLE	Ia-10	Ia-1	Ia-2	Ia-3	Ia-4	Ia-5	Ia-6	Ia-7	Ia-8	Ia-9	Ib-10	Ib-1	Ib-2	Ib-3	Ib-4	Ib-5	Ib-6	Ib-7	Ib-8	Ib-9	II-1	IIa-10	IIa-1	IIa-2	IIa-3	IIa-4	IIa-5	IIa-6	IIa-7	IIa-8	IIa-9	IIb-10	IIb-1	IIb-2	IIb-3	IIb-4	IIb-5	IIb-6	IIb-7	IIb-8	IIb-9
IIb-10	0.00698835	0.00666223	0.00482931	0.00649567	0.0334464	0.798279	0.005996	0.00490279	0.00556868	0.00506842	0.794518	0.734874	0.00354490.00135044	0.000858222	0.00337781	0.00286968	0.798751	0.00399002	0.53096	0.927825	0.649293	0.00775962	0.674548	0.645783	0.64373	0.64289	0.644964	0.644964	0.0110266	0.649127	1	0.882675	0.983293	0.993888	0.992101	0.99339	0.996933	0.987122	0.99662	0.996933	
IIb-1	0.00727341	0.00653473	0.00504013	0.00634802	0.0373662	0.731868	0.00634802	0.00512043	0.0051088	0.00530605	0.743626	0.667958	0.003217870.00151458	0.000961538	0.00340974	0.00302916	0.728653	0.00409912	0.496194	0.820833	0.586274	0.00813459	0.605285	0.59838	0.596341	0.595498	0.597608	0.597608	0.00987526	0.587867	0.882675	1	0.878568	0.880122	0.889789	0.888637	0.879774	0.87062	0.87982	0.879774	
IIb-2	0.00700467	0.00634391	0.00450676	0.00617696	0.0331984	0.794984	0.00567613	0.00457627	0.00507528	0.00474255	0.790909	0.731214	0.003215430.00135387	0.000860141	0.00304775	0.00270773	0.795579	0.00366606	0.532278	0.916097	0.643907	0.00728115	0.667554	0.640221	0.638175	0.637337	0.63941	0.63941	0.0107393	0.643587	0.983293	0.878568	1	0.977433	0.988063	0.989353	0.980402	0.973397	0.980141	0.980402	
IIb-3	0.00696748	0.00664231	0.00481488	0.00647625	0.0333494	0.796355	0.00597808	0.00488792	0.00555088	0.00505306	0.792359	0.733202	0.003534160.00134635	0.000855432	0.00336757	0.00286099	0.79693	0.00397878	0.529403	0.929707	0.647019	0.00757202	0.673146	0.644437	0.642504	0.641666	0.643621	0.643621	0.0108409	0.647173	0.993888	0.880122	0.977433	1	0.986187	0.987472	0.990992	0.981235	0.997105	0.990992	
IIb-4	0.00701403	0.00635239	0.00451279	0.00618522	0.0332468	0.799243	0.00568372	0.00458248	0.00508216	0.00474898	0.797082	0.73722	0.003219790.0013557	0.000861178	0.00305188	0.0027114	0.799603	0.00367095	0.533023	0.924384	0.650995	0.0072908	0.673086	0.647379	0.645318	0.644475	0.646556	0.646556	0.0107544	0.650726	0.992101	0.889789	0.988063	0.986187	1	0.998543	0.989199	0.979425	0.98891	0.989199	
IIb-5	0.00700584	0.00634497	0.00450751	0.00617799	0.0332038	0.800182	0.00567707	0.00457705	0.00507614	0.00474335	0.796114	0.736321	0.003215980.0013541	0.000860141	0.00304826	0.00270819	0.800825	0.00366667	0.532361	0.925631	0.6504	0.00728236	0.674014	0.64678	0.644722	0.64388	0.645958	0.645958	0.010741	0.650127	0.99339	0.888637	0.989353	0.987472	0.998543	1	0.990488	0.980711	0.990196	0.990488	
IIb-6	0.00700584	0.00667891	0.0048414	0.00651194	0.0335277	0.795561	0.00601102	0.00491525	0.00558281	0.0050813	0.791793	0.732137	0.00355390.00135387	0.000860437	0.00338639	0.00287697	0.796009	0.004	0.528173	0.92502	0.647354	0.00777888	0.672578	0.643821	0.64177	0.640931	0.643005	0.643005	0.0115193	0.647174	0.996933	0.879774	0.980402	0.990992	0.989199	0.990488	1	0.989995	0.993723	1	
IIb-7	0.00700935	0.00668226	0.00484383	0.0065152	0.0335386	0.790235	0.00601403	0.00491692	0.0055847	0.00508302	0.786189	0.7269	0.003385240.00135433	0.000860882	0.00338753	0.00287794	0.790362	0.004002	0.524266	0.915747	0.641434	0.00778275	0.666512	0.63784	0.635799	0.634963	0.637033	0.637033	0.0115229	0.641211	0.987122	0.87062	0.973397	0.981235	0.979425	0.980711	0.989995	1	0.983951	0.989995	
IIb-8	0.00696633	0.00664121	0.00481408	0.00647518	0.0333441	0.795995	0.00597709	0.00488709	0.00555088	0.00505221	0.792239	0.732757	0.003533570.00134612	0.000855432	0.003367	0.00286051	0.796445	0.00397746	0.529403	0.930631	0.647923	0.00757077	0.673106	0.644404	0.642471	0.641633	0.643588	0.643588	0.0108393	0.647747	0.99662	0.87982	0.980141	0.997105	0.98891	0.990196	0.993723	0.983951	1	0.993723	
IIb-9	0.00700584	0.00667891	0.0048414	0.00651194	0.0335277	0.795561	0.00601102	0.00491525	0.00558281	0.0050813	0.791793	0.732137	0.00355390.00135387	0.000860437	0.00338639	0.00287697	0.796009	0.004	0.528173	0.92502	0.647354	0.00777888	0.672578	0.643821	0.64177	0.640931	0.643005	0.643005	0.0115193	0.647174	0.996933	0.879774	0.980402	0.990992	0.989199	0.990488	1	0.989995	0.993723	1	
